RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
1121,7410894164,50,Female,Centre,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,Yes,No,No,No,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,60.000€ to 69.999€ per year,Siena,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"50,000€ +",Rest of Italy,Overall Interested,Watcher,0.993939394
1122,7409302690,30,Male,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Potenza,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Inter Milan Fan,18-34, ,Rest of Italy,Unaware, ,1.023529412
1123,7410843542,63,Male,Unknown,I watch basketball occasionally,No,No,Yes,No,No,No,Very unlikely,Very unlikely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,35.000€ to 39.999€ per year,Bergamo,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Other Serie A Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.004081633
1124,7403386362,53,Male,South,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Teramo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,1.011180124
1125,7410886622,24,Female,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Other Serie A Fan,18-34, ,Rest of Italy,Unaware, ,0.993939394
1126,7410886548,50,Female,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Salerno,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Other Serie A Fan,35-54, ,Rest of Italy,Unaware, ,0.993939394
1127,7410886832,58,Male,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Roma,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Other Serie A Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,1.004081633
1128,7410754000,38,Male,Unknown,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat unlikely,Somewhat unlikely, ,Slightly increase my interest,Other/not sure,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Prefer not to answer,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,35-54, ,Milan,Overall Interested,Watcher,1.004081633
1129,7410886538,43,Male,Unknown,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat likely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Prefer not to answer,Roma,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,35-54, ,Rest of Italy,Unaware, ,1.004081633
1130,7410916526,52,Female,Islands,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,35.000€ to 39.999€ per year,Catania,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Non Watcher,0.993939394
1131,7409590552,40,Male,Islands,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,No,Yes,No,Yes,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,20.000€ to 24.999€ per year,Nuoro,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,AC Milan Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,1.056101695
1132,7410927844,30,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Other Serie A Fan,18-34,"50,000€ +",Milan,Unaware, ,1.004081633
1133,7410932432,47,Female,South,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Napoli,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Other Serie A Fan,35-54,"25-49,999€",Rest of Italy,Unaware, ,0.993939394
1134,7410931616,54,Male,South,I watch basketball occasionally,Yes,Yes,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,No,Yes,Yes,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,under 5.000€ per year,Taranto,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,AC Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
1135,7410848348,64,Female,North east,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Padova,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Unaware, ,0.992682927
1136,7410886624,58,Male,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Pesaro e Urbino,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Inter Milan Fan,55+, ,Rest of Italy,Unaware, ,1.023529412
1137,7410843576,35,Male,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Unknown,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,AC Milan Fan,35-54, ,Rest of Italy,Unaware, ,1.056101695
1138,7410939158,58,Female,South,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Catanzaro,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Unaware, ,0.992682927
1139,7410934586,41,Male,Centre,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,20.000€ to 24.999€ per year,Fermo,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.004081633
1140,7410648888,47,Male,Centre,Basketball is one of my top sports,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Perugia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Non Watcher,1.011180124
1141,7407509646,56,Female,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Slightly increase my interest,Other/not sure,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Roma,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Unaware, ,0.992682927
1142,7410886870,47,Male,South,I generally do not follow basketball, , , , , , ,Very unlikely,Somewhat unlikely, ,Slightly increase my interest,Other/not sure,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,10.000€ to 14.999€ per year,Bari,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,No,No,No,No,No,No,No,No,No,AC Milan Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,1.056101695
1143,7410949526,70,Female,South,I generally do not follow basketball, , , , , , ,Very likely,Somewhat unlikely,I don't like football branding in basketball,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,under 5.000€ per year,Napoli,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,0.992682927
1144,7410886584,69,Male,Unknown,I watch basketball occasionally,Yes,No,Yes,No,No,No,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Unknown,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Other Serie A Fan,55+,"50,000€ +",Rest of Italy,Overall Interested,Watcher,1.004081633
1145,7409555714,77,Female,North west,Basketball is one of my top sports,Yes,No,Yes,No,No,No,Somewhat likely,Very likely, ,Slightly increase my interest, ,Yes,No,Yes,Yes,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,45.000€ to 49.999€ per year,Torino,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"50,000€ +",Rest of Italy,Overall Interested,Watcher,0.992682927
1146,7410953162,39,Female,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Roma,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Other Serie A Fan,35-54,"25-49,999€",Rest of Italy,Unaware, ,0.993939394
1147,7409673716,42,Male,Islands,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,under 5.000€ per year,Trapani,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,1.011180124
1148,7410843508,24,Male,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Very unlikely,Very unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,I would not support a Milan NBA team,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,under 5.000€ per year,Vercelli,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34,"0-24,999€",Rest of Italy,Overall Interested,Non Watcher,1.011180124
1149,7403303866,60,Female,Islands,Basketball is one of my top sports,No,No,No,No,Yes,No,Very likely,Very likely, ,Significantly increase my interest, ,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,5.000€ to 9.999€ per year,Trapani,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1150,7410843840,68,Female,South,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,25.000€ to 29.999€ per year,Foggia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1151,7410889702,39,Male,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Latina,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54, ,Rest of Italy,Unaware, ,1.011180124
1152,7410886722,36,Female,Unknown,Basketball is one of my top sports,Yes,No,Yes,No,No,No,Very likely,Very likely, ,Significantly increase my interest, ,No,Yes,No,No,Yes,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,25.000€ to 29.999€ per year,Unknown,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Other Serie A Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.993939394
1153,7409550774,47,Female,North west,I watch basketball occasionally,No,Yes,No,No,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,35.000€ to 39.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,0.992682927
1154,7410965598,47,Male,Unknown,"I follow basketball regularly, but it's secondary",No,Yes,No,No,No,No,Somewhat likely,Very likely, ,Moderately increase my interest, ,No,No,No,Yes,No,No,Attend a game in person,"Because it represents Milan, regardless of club",No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.056101695
1155,7410939152,58,Male,Centre,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Ancona,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Overall Interested,Non Watcher,1.011180124
1156,7410886674,45,Female,Unknown,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,Moderately increase my interest,Because it gives me a reason to care about basketball,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,35.000€ to 39.999€ per year,Trieste,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1157,7410939114,44,Female,Centre,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Significantly increase my interest,Because it feels culturally relevant to Milan,No,No,Yes,No,No,No,Follow highlights and social media,Because it is affiliated with AC Milan,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,25.000€ to 29.999€ per year,Siena,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"25-49,999€",Rest of Italy,Unaware, ,0.992682927
1158,7409548978,68,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,35.000€ to 39.999€ per year,Pavia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,0.992682927
1159,7410939186,58,Female,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,100.000€ to 149.999€ per year,Roma,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"50,000€ +",Rest of Italy,Unaware, ,0.992682927
1160,7410848416,58,Female,Islands,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Ogliastra,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Unaware, ,0.992682927
1161,7410649826,64,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat unlikely,Very unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Milan,Overall Interested,Watcher,0.992682927
1162,7410754072,22,Female,South,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat likely, ,Slightly increase my interest,Other/not sure,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Napoli,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34,"0-24,999€",Rest of Italy,Unaware, ,0.992682927
1163,7410886514,40,Male,Unknown,I watch basketball occasionally,Yes,No,No,No,No,No,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Palermo,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Other Serie A Fan,35-54, ,Rest of Italy,Overall Interested,Watcher,1.004081633
1164,7410886664,40,Male,Unknown,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat unlikely,I support a different football club and therefore would be less interested,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Unknown,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.004081633
1165,7408970918,59,Female,South,Basketball is one of my top sports,Yes,No,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,15.000€ to 19.999€ per year,Napoli,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1166,7410886836,28,Female,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Perugia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34, ,Rest of Italy,Unaware, ,0.992682927
1167,7410705480,55,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Monza e Brianza,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,0.992682927
1168,7407391172,55,Female,Islands,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5.000€ to 9.999€ per year,Sassari,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,0.992682927
